generation,average_fitness,best_fitness,elite_average_fitness,fitness_scores
1,-97.8534113407135,-5.198996067047119,-181.95965123176575,"[-358.7203063964844, -5.198996067047119, -16.30341339111328, -29.01744842529297, -16.782012939453125, -336.4109191894531, -22.599285125732422, -12.978492736816406, -36.24440002441406, -144.27883911132812]"
2,-233.65811128616332,-11.78506088256836,-248.5961036682129,"[-88.0035171508789, -409.1886901855469, -430.6379089355469, -13.669134140014648, -13.568316459655762, -239.06369018554688, -332.2001037597656, -147.99465942382812, -11.78506088256836, -650.4700317382812]"
3,-376.4828012943268,-6.637491703033447,-244.60189056396484,"[-153.63758850097656, -335.5661926269531, -191.64523315429688, -645.9899291992188, -6.637491703033447, -1056.9613037109375, -209.23089599609375, -622.4769287109375, -332.0264587402344, -210.65599060058594]"
4,-246.72060623168946,-14.148730278015137,-63.85777473449707,"[-88.71765899658203, -38.99789047241211, -382.660400390625, -631.0139770507812, -15.729630470275879, -14.148730278015137, -141.6832275390625, -312.3044738769531, -403.64520263671875, -438.30487060546875]"
5,-294.22962951660156,-26.280548095703125,-280.5431900024414,"[-227.48219299316406, -333.60418701171875, -471.6094055175781, -420.717041015625, -323.2107849121094, -318.2390441894531, -316.4817199707031, -341.47540283203125, -163.1959686279297, -26.280548095703125]"
6,-161.0079026222229,-6.407583236694336,-177.04393768310547,"[-125.09965515136719, -228.98822021484375, -331.1445617675781, -131.526123046875, -13.852404594421387, -6.407583236694336, -200.78533935546875, -315.216064453125, -239.6284637451172, -17.43061065673828]"
7,-217.32332491874695,-6.256698131561279,-163.03630805015564,"[-319.81591796875, -6.256698131561279, -126.66069030761719, -10.513707160949707, -22.485671997070312, -14.711991310119629, -13.524728775024414, -14.825366973876953, -941.5322265625, -702.90625]"
8,-323.47704167366027,-5.458585262298584,-380.35764956474304,"[-755.2567138671875, -5.458585262298584, -845.768310546875, -428.02069091796875, -10.0203275680542, -612.0711669921875, -24.730894088745117, -52.167930603027344, -10.678201675415039, -490.59759521484375]"
9,-143.08005447387694,-4.664363861083984,-166.95892143249512,"[-329.25347900390625, -4.664363861083984, -452.5360107421875, -9.282276153564453, -123.2813720703125, -8.16137409210205, -347.685546875, -10.549344062805176, -130.99307250976562, -14.393705368041992]"
10,-264.57961184978484,-3.8662660121917725,-61.77806329727173,"[-117.3714828491211, -6.184643745422363, -445.00848388671875, -8.101219177246094, -202.77442932128906, -323.5917053222656, -749.666748046875, -3.8662660121917725, -468.93017578125, -320.30096435546875]"
